sample	sig_cat	prop
01-033-T	SBS2/13	0.07272929100003445
01-033-T	SBS25	0.22701502677091057
01-035-T	SBS5	0.34408921569012657
01-035-T	SBS25	0.11812550693247488
01-035-T	SBS2/13	0.17565302796114757
01-035-T	SBS6	0.36213224941625094
01-036-T	SBS5	0.32826764485612325
01-036-T	SBS6	0.29191632059346945
01-036-T	SBS2/13	0.04877227091974675
01-036-T	SBS25	0.3310437636306605
01-038-T	SBS5	0.24607312691526587
01-038-T	SBS2/13	0.22235440330745146
01-038-T	SBS6	0.4959687597674648
01-038-T	SBS25	0.03560371000981795
01-039-T	SBS5	0.009578565162475215
01-039-T	SBS2/13	0.939878679481861
01-039-T	SBS25	9.249957549882602e-15
01-039-T	SBS6	0.05054275535565459
01-040-T	SBS25	0.07383624369271691
01-040-T	SBS5	0.2742885716597471
01-040-T	SBS2/13	0.03585100952318944
01-040-T	SBS6	0.6160241751243465
01-041-T	SBS5	0.035431044000567916
03-041-T	SBS2/13	0.049499358599551666
03-041-T	SBS25	0.2611887023925447
01-041-T	SBS2/13	0.9051004754180034
03-041-T	SBS5	0.03665487613001542
01-041-T	SBS25	0.00500551258133905
01-041-T	SBS6	0.054462968000089616
03-041-T	SBS6	0.6526570628778883
01-044-T	SBS5	0.4314368273351869
01-044-T	SBS6	0.28247558515286086
01-044-T	SBS2/13	0.27136426380853634
01-044-T	SBS25	0.01472332370341591
01-045-T	SBS25	3.311297852877844e-5
01-045-T	SBS5	0.8966030621628691
01-045-T	SBS2/13	0.10336382485858925
01-045-T	SBS6	1.2927946144278509e-14
01-048-T	SBS5	0.4350366513602746
01-048-T	SBS25	0.11932755210168589
01-048-T	SBS6	0.4456357965379916
01-048-T	SBS2/13	4.79683292497272e-14
01-049-T	SBS5	0.0817309055847032
01-049-T	SBS6	0.8241828193967957
01-049-T	SBS2/13	0.07568348646556759
01-049-T	SBS25	0.01840278855293353
01-051-T	SBS6	0.46717544908168607
03-051-T	SBS5	0.2843366934125456
03-051-T	SBS2/13	3.666468529686227e-6
03-051-T	SBS25	0.17716036981117944
01-051-T	SBS5	0.06903131542175582
03-051-T	SBS6	0.5384992703077454
01-051-T	SBS25	0.42267727814633066
01-051-T	SBS2/13	0.04111595735022736
01-052-T	SBS6	0.1199913365973143
01-052-T	SBS5	0.25977804290046363
01-052-T	SBS2/13	0.6133819465391784
