edge_type	from	to	start_cyto	start_exhau	end_cyto	end_exhau	weight.x	weight.y	weight.diff	weight	wtype	comp_type
CD8_TYMS->T_MKI67	CD8_TYMS	T_MKI67	0.508437609318502	0.26732562597304077	0.3221173238475757	0.1120220195887803	0	0.0400478549075184	-0.0400478549075184	0.0400478549075184	R < NR	Post-treatment: R vs NR
CD8_TYMS->T_Ribo	CD8_TYMS	T_Ribo	0.508437609318502	0.26732562597304077	0.23379748203423675	-0.1925387180772601	0	0.01204668215949419	-0.01204668215949419	0.01204668215949419	R < NR	Post-treatment: R vs NR
T_Mito->T_MKI67	T_Mito	T_MKI67	0.18471069273661125	-0.07486414163307066	0.3221173238475757	0.1120220195887803	0	0.0151461739809976	-0.0151461739809976	0.0151461739809976	R < NR	Post-treatment: R vs NR
T_Mito->T_Ribo	T_Mito	T_Ribo	0.18471069273661125	-0.07486414163307066	0.23379748203423675	-0.1925387180772601	0.01133990408066382	0.01619367413854889	-0.004853770057885069	0.004853770057885069	R < NR	Post-treatment: R vs NR
T_MKI67->T_Ribo	T_MKI67	T_Ribo	0.3221173238475757	0.1120220195887803	0.23379748203423675	-0.1925387180772601	0	0.01081574871485564	-0.01081574871485564	0.01081574871485564	R < NR	Post-treatment: R vs NR
Treg_LTB->Treg_TNFRSF4	Treg_LTB	Treg_TNFRSF4	-0.2105662278285708	-0.2303522400175631	-0.16880027758080782	0.04258621822487454	0.01400977968600919	0.03486553833025719	-0.020855758644248	0.020855758644248	R < NR	Post-treatment: R vs NR
CD4_CXCL13->CD4_KLRB1	CD4_CXCL13	CD4_KLRB1	-0.16107968653210555	0.06118390525269737	0.0035640908930661	-0.17075183422928836	0.03090758443183817	0.02268034883415238	0.008227235597685793	0.008227235597685793	R > NR	Pre-treatment: R vs NR
CD4_KLRB1->CD8_TYMS	CD4_KLRB1	CD8_TYMS	0.0035640908930661	-0.17075183422928836	0.508437609318502	0.26732562597304077	0	0.0108759984428936	-0.0108759984428936	0.0108759984428936	R < NR	Pre-treatment: R vs NR
CD4_KLRB1->T_MKI67	CD4_KLRB1	T_MKI67	0.0035640908930661	-0.17075183422928836	0.3221173238475757	0.1120220195887803	0	0.01374685612652118	-0.01374685612652118	0.01374685612652118	R < NR	Pre-treatment: R vs NR
CD8_ANXA1->CD8_CCL5	CD8_ANXA1	CD8_CCL5	0.44921694034885007	-0.2841561774317659	0.8427294084095255	-0.08285967262375184	0.03462508887778199	0.03259360053800177	0.0020314883397802228	0.0020314883397802228	R > NR	Pre-treatment: R vs NR
CD8_ANXA1->CD8_CX3CR1	CD8_ANXA1	CD8_CX3CR1	0.44921694034885007	-0.2841561774317659	0.9902034125668278	-0.3559573778319592	0	0.01005312950277152	-0.01005312950277152	0.01005312950277152	R < NR	Pre-treatment: R vs NR
CD8_ANXA1->CD8_CXCL13	CD8_ANXA1	CD8_CXCL13	0.44921694034885007	-0.2841561774317659	0.7809440965002276	0.5103815243038091	0	0.01440883759241547	-0.01440883759241547	0.01440883759241547	R < NR	Pre-treatment: R vs NR
CD8_ANXA1->CD8_FOS	CD8_ANXA1	CD8_FOS	0.44921694034885007	-0.2841561774317659	0.3481401270001603	-0.2930697342203742	0.01779375029542321	0.02082258429212612	-0.0030288339967029093	0.0030288339967029093	R < NR	Pre-treatment: R vs NR
CD8_ANXA1->CD8_GZMK	CD8_ANXA1	CD8_GZMK	0.44921694034885007	-0.2841561774317659	0.654850977444354	-0.2657534061837355	0.01489998581357165	0.01416651375481146	7.334720587601901e-4	7.334720587601901e-4	R > NR	Pre-treatment: R vs NR
CD8_ANXA1->CD8_IFIT1	CD8_ANXA1	CD8_IFIT1	0.44921694034885007	-0.2841561774317659	0.4444235689085628	-0.10561343311326596	0.01101770394060825	0.01169468122379311	-6.769772831848597e-4	6.769772831848597e-4	R < NR	Pre-treatment: R vs NR
CD8_CCL5->CD8_CX3CR1	CD8_CCL5	CD8_CX3CR1	0.8427294084095255	-0.08285967262375184	0.9902034125668278	-0.3559573778319592	0.01197428225921735	0.01506471606866848	-0.0030904338094511295	0.0030904338094511295	R < NR	Pre-treatment: R vs NR
CD8_CCL5->CD8_CXCL13	CD8_CCL5	CD8_CXCL13	0.8427294084095255	-0.08285967262375184	0.7809440965002276	0.5103815243038091	0.0399481608563853	0.03725909689007025	0.0026890639663150473	0.0026890639663150473	R > NR	Pre-treatment: R vs NR
CD8_CCL5->CD8_FOS	CD8_CCL5	CD8_FOS	0.8427294084095255	-0.08285967262375184	0.3481401270001603	-0.2930697342203742	0.01583888742706583	0.01732095756029539	-0.0014820701332295613	0.0014820701332295613	R < NR	Pre-treatment: R vs NR
CD8_CCL5->CD8_GZMK	CD8_CCL5	CD8_GZMK	0.8427294084095255	-0.08285967262375184	0.654850977444354	-0.2657534061837355	0.03876893543023983	0.03291483374797195	0.005854101682267875	0.005854101682267875	R > NR	Pre-treatment: R vs NR
CD8_CCL5->CD8_IFIT1	CD8_CCL5	CD8_IFIT1	0.8427294084095255	-0.08285967262375184	0.4444235689085628	-0.10561343311326596	0.02160433033842317	0.01548910800131008	0.006115222337113089	0.006115222337113089	R > NR	Pre-treatment: R vs NR
CD8_CCL5->CD8_TYMS	CD8_CCL5	CD8_TYMS	0.8427294084095255	-0.08285967262375184	0.508437609318502	0.26732562597304077	0.0218628773995605	0.02572344683271362	-0.003860569433153122	0.003860569433153122	R < NR	Pre-treatment: R vs NR
CD8_CCL5->T_Mito	CD8_CCL5	T_Mito	0.8427294084095255	-0.08285967262375184	0.18471069273661125	-0.07486414163307066	0	0.01115497114091307	-0.01115497114091307	0.01115497114091307	R < NR	Pre-treatment: R vs NR
CD8_CCL5->T_MKI67	CD8_CCL5	T_MKI67	0.8427294084095255	-0.08285967262375184	0.3221173238475757	0.1120220195887803	0.02377685283158268	0.02254340786111799	0.001233444970464688	0.001233444970464688	R > NR	Pre-treatment: R vs NR
CD8_CD74->CD8_CXCL13	CD8_CD74	CD8_CXCL13	0.3063961428315547	-0.04903506344467154	0.7809440965002276	0.5103815243038091	0.01179988066183158	0.01007730365337974	0.0017225770084518394	0.0017225770084518394	R > NR	Pre-treatment: R vs NR
CD8_CX3CR1->CD8_FOS	CD8_CX3CR1	CD8_FOS	0.9902034125668278	-0.3559573778319592	0.3481401270001603	-0.2930697342203742	0	0.0173017685305151	-0.0173017685305151	0.0173017685305151	R < NR	Pre-treatment: R vs NR
CD8_CX3CR1->CD8_GZMK	CD8_CX3CR1	CD8_GZMK	0.9902034125668278	-0.3559573778319592	0.654850977444354	-0.2657534061837355	0.01279345327729718	0.01479164785031512	-0.0019981945730179404	0.0019981945730179404	R < NR	Pre-treatment: R vs NR
CD8_CXCL13->CD8_IFIT1	CD8_CXCL13	CD8_IFIT1	0.7809440965002276	0.5103815243038091	0.4444235689085628	-0.10561343311326596	0.0128312264923122	0	0.0128312264923122	0.0128312264923122	R > NR	Pre-treatment: R vs NR
CD8_CXCL13->CD8_TYMS	CD8_CXCL13	CD8_TYMS	0.7809440965002276	0.5103815243038091	0.508437609318502	0.26732562597304077	0.06547445395873826	0.06242740683083703	0.0030470471279012284	0.0030470471279012284	R > NR	Pre-treatment: R vs NR
CD8_CXCL13->T_Mito	CD8_CXCL13	T_Mito	0.7809440965002276	0.5103815243038091	0.18471069273661125	-0.07486414163307066	0.01172749760145197	0.01472899095966001	-0.0030014933582080405	0.0030014933582080405	R < NR	Pre-treatment: R vs NR
CD8_CXCL13->T_MKI67	CD8_CXCL13	T_MKI67	0.7809440965002276	0.5103815243038091	0.3221173238475757	0.1120220195887803	0.05738366290788031	0.04911888945711486	0.008264773450765449	0.008264773450765449	R > NR	Pre-treatment: R vs NR
CD8_FOS->CD8_GZMK	CD8_FOS	CD8_GZMK	0.3481401270001603	-0.2930697342203742	0.654850977444354	-0.2657534061837355	0.06628888287304241	0.06886037038604598	-0.0025714875130035675	0.0025714875130035675	R < NR	Pre-treatment: R vs NR
CD8_FOS->CD8_IFIT1	CD8_FOS	CD8_IFIT1	0.3481401270001603	-0.2930697342203742	0.4444235689085628	-0.10561343311326596	0.01285556979031985	0.01394264290338688	-0.0010870731130670306	0.0010870731130670306	R < NR	Pre-treatment: R vs NR
CD8_GZMK->CD8_IFIT1	CD8_GZMK	CD8_IFIT1	0.654850977444354	-0.2657534061837355	0.4444235689085628	-0.10561343311326596	0.0284284875677878	0.02074487167184687	0.00768361589594093	0.00768361589594093	R > NR	Pre-treatment: R vs NR
CD8_GZMK->T_Mito	CD8_GZMK	T_Mito	0.654850977444354	-0.2657534061837355	0.18471069273661125	-0.07486414163307066	0.01410626921870849	0.01612538277995225	-0.0020191135612437593	0.0020191135612437593	R < NR	Pre-treatment: R vs NR
CD8_TYMS->T_MKI67	CD8_TYMS	T_MKI67	0.508437609318502	0.26732562597304077	0.3221173238475757	0.1120220195887803	0.03419655014176594	0.03189584295673826	0.0023007071850276797	0.0023007071850276797	R > NR	Pre-treatment: R vs NR
T_MKI67->Treg_TNFRSF4	T_MKI67	Treg_TNFRSF4	0.3221173238475757	0.1120220195887803	-0.16880027758080782	0.04258621822487454	0.01006414960085091	0.01142639149556327	-0.00136224189471236	0.00136224189471236	R < NR	Pre-treatment: R vs NR
Treg_LTB->Treg_TNFRSF4	Treg_LTB	Treg_TNFRSF4	-0.2105662278285708	-0.2303522400175631	-0.16880027758080782	0.04258621822487454	0.02358660479880735	0.02734477087507145	-0.0037581660762640995	0.0037581660762640995	R < NR	Pre-treatment: R vs NR
