patient	macrotype	cell_type	cell_count	total_epithelial_cells	percent_in_patient
P09	Tumor_Gp1	Epi_M_CALML3	2440	2891	84.39986163957109
P09	Tumor_Gp2	Epi_M_RNASE1	1	2891	0.03459010722933241
P09	Tumor_Gp2	Epi_M_SPRR3	7	2891	0.24213075060532688
P10	Epi_Normal	Epi_A_IL1R2	20	190	10.526315789473685
P10	Mixture	Epi_T_Mix	77	190	40.526315789473685
P10	Tumor_Gp1	Epi_M_CALML3	93	190	48.94736842105263
P11	Epi_Normal	Epi_A_IL1R2	74	1460	5.068493150684931
P11	Epi_Normal	Epi_A_MGP	5	1460	0.3424657534246575
P11	Mixture	Epi_T_Mix	162	1460	11.095890410958905
P11	Tumor_Gp1	Epi_M_CALML3	1210	1460	82.87671232876713
P11	Tumor_Gp2	Epi_M_SPRR3	9	1460	0.6164383561643836
P12	Epi_Normal	Epi_A_IL1R2	22	1945	1.1311053984575836
P12	Epi_Normal	Epi_A_MGP	40	1945	2.056555269922879
P12	Epi_Normal	Epi_N_PIGR	9	1945	0.46272493573264784
P12	Mixture	Epi_T_Mix	135	1945	6.940874035989717
P12	Tumor_Gp1	Epi_M_CALML3	813	1945	41.79948586118252
P12	Tumor_Gp2	Epi_M_MYBPC1	1	1945	0.05141388174807198
P12	Tumor_Gp2	Epi_M_SPRR3	925	1945	47.55784061696658
P13	Epi_Normal	Epi_A_MGP	3	578	0.5190311418685121
P13	Mixture	Epi_B_Mix	1	578	0.17301038062283736
P13	Mixture	Epi_T_Mix	370	578	64.01384083044982
P13	Tumor_Gp1	Epi_M_CALML3	204	578	35.294117647058826
P14	Epi_Normal	Epi_A_IL1R2	59	1298	4.545454545454546
P14	Epi_Normal	Epi_A_MGP	2	1298	0.15408320493066255
P14	Mixture	Epi_T_Mix	150	1298	11.556240369799692
P14	Tumor_Gp1	Epi_M_CALML3	1087	1298	83.7442218798151
P15	Epi_Normal	Epi_A_IL1R2	3	2097	0.1430615164520744
P15	Epi_Normal	Epi_A_MGP	125	2097	5.960896518836433
P15	Epi_Normal	Epi_N_PIGR	1434	2097	68.38340486409156
P15	Mixture	Epi_T_Mix	125	2097	5.960896518836433
P15	Tumor_Gp1	Epi_M_CALML3	395	2097	18.83643299952313
P15	Tumor_Gp2	Epi_M_SPRR3	15	2097	0.7153075822603719
P16	Epi_Normal	Epi_A_IL1R2	8	469	1.7057569296375266
P16	Epi_Normal	Epi_N_PIGR	2	469	0.42643923240938164
P16	Mixture	Epi_T_Mix	75	469	15.991471215351812
P16	Tumor_Gp1	Epi_M_CALML3	377	469	80.38379530916845
P16	Tumor_Gp2	Epi_M_SPRR3	7	469	1.492537313432836
P17	Epi_Normal	Epi_A_IL1R2	112	4409	2.5402585620322067
P17	Epi_Normal	Epi_A_MGP	28	4409	0.6350646405080517
P17	Epi_Normal	Epi_N_PIGR	19	4409	0.4309367203447494
P17	Mixture	Epi_T_Mix	62	4409	1.4062145611249717
P17	Tumor_Gp1	Epi_M_CALML3	98	4409	2.222726241778181
P17	Tumor_Gp2	Epi_M_MYBPC1	4070	4409	92.31118167384895
P17	Tumor_Gp2	Epi_M_SPRR3	20	4409	0.45361760036289406
P18	Epi_Normal	Epi_A_IL1R2	11	253	4.3478260869565215
P18	Epi_Normal	Epi_N_PIGR	1	253	0.3952569169960474
P18	Mixture	Epi_T_Mix	36	253	14.229249011857707
P18	Tumor_Gp1	Epi_M_CALML3	196	253	77.4703557312253
P18	Tumor_Gp2	Epi_M_RNASE1	8	253	3.1620553359683794
P18	Tumor_Gp2	Epi_M_SPRR3	1	253	0.3952569169960474
