response	sample_type	source	target	n_interaction	prob_mean	prob_med
NR	pre	Myeloid	T cells	42	0.02770788187460389	0.013728168746590691
NR	pre	Myeloid	Tumor_Gp1	32	0.010615645240803911	0.0044396489693894455
NR	pre	Myeloid	Tumor_Gp2	3	0.043573455373443475	0.011024642565097706
NR	pre	T cells	B & Plasma	9	0.028958582720781615	0.004043980801632373
NR	pre	T cells	Endothelial	21	0.018641977743713883	0.010005573501858213
NR	pre	T cells	Fibroblast	18	0.01623100670530734	0.0054074584840532215
NR	pre	T cells	Myeloid	30	0.016849077127368224	0.006463244449051291
NR	pre	T cells	T cells	28	0.04172705184718073	0.02703332703527439
NR	pre	T cells	Tumor_Gp1	20	0.01247189164138839	0.0038079784673926494
NR	pre	T cells	Tumor_Gp2	2	0.06431619064497854	0.06431619064497854
NR	pre	Tumor_Gp1	B & Plasma	37	0.02037234419702512	0.005353978822277087
NR	pre	Tumor_Gp1	Endothelial	85	0.012428937438922741	0.00654937294856505
NR	pre	Tumor_Gp1	Fibroblast	88	0.009803902149875927	0.004609424237024954
NR	pre	Tumor_Gp1	Myeloid	50	0.02240453943286842	0.008274081371186416
NR	pre	Tumor_Gp1	T cells	54	0.02491248541123761	0.012759719704040303
NR	pre	Tumor_Gp1	Tumor_Gp1	148	0.011172082337408362	0.005591365492018916
NR	pre	Tumor_Gp2	B & Plasma	5	0.06921038104048682	0.044457278901558255
NR	pre	Tumor_Gp2	Fibroblast	4	0.0768588646463332	0.06357299970968452
NR	pre	Tumor_Gp2	Myeloid	6	0.10509621715714387	0.0948270626738289
NR	pre	Tumor_Gp2	T cells	12	0.0801289167455448	0.07140299356455804
NR	pre	Tumor_Gp2	Tumor_Gp2	19	0.04122211896308701	0.027619751537795813
R	post	B & Plasma	B & Plasma	7	0.03863600687545477	0.020413633589687067
R	post	B & Plasma	Endothelial	10	0.017329908988460964	0.012364227927573478
R	post	B & Plasma	Fibroblast	16	0.012499457561468679	0.004248024188914014
R	post	B & Plasma	Myeloid	25	0.015391559271107755	0.006749763572450843
