source	target	weight.x	weight.y	weight.diff	weight	comp_type	weight_type
Myeloid	Tumor_Gp2	0.02063113492972926	0.04357345537344347	-0.022942320443714206	0.022942320443714206	Pre-treatment: R vs NR	R < NR
T cells	B & Plasma	0.0294296810386707	0.02895858272078161	4.710983178890897e-4	4.710983178890897e-4	Pre-treatment: R vs NR	R > NR
T cells	Endothelial	0.0192197246040877	0.01864197774371388	5.777468603738213e-4	5.777468603738213e-4	Pre-treatment: R vs NR	R > NR
T cells	Fibroblast	0.01557031568995501	0.01623100670530734	-6.606910153523302e-4	6.606910153523302e-4	Pre-treatment: R vs NR	R < NR
T cells	Myeloid	0.01613494917183665	0.01684907712736822	-7.14127955531569e-4	7.14127955531569e-4	Pre-treatment: R vs NR	R < NR
T cells	T cells	0.03272182663553719	0.04172705184718073	-0.009005225211643542	0.009005225211643542	Pre-treatment: R vs NR	R < NR
T cells	Tumor_Gp1	0.01104348955125538	0.01247189164138839	-0.0014284020901330092	0.0014284020901330092	Pre-treatment: R vs NR	R < NR
T cells	Tumor_Gp2	0	0.06431619064497854	-0.06431619064497854	0.06431619064497854	Pre-treatment: R vs NR	R < NR
Tumor_Gp1	B & Plasma	0.01371174719188417	0.02037234419702512	-0.006660597005140949	0.006660597005140949	Pre-treatment: R vs NR	R < NR
Tumor_Gp1	Endothelial	0.00981004718914113	0.01242893743892274	-0.002618890249781609	0.002618890249781609	Pre-treatment: R vs NR	R < NR
Tumor_Gp1	Fibroblast	0.00641034033805033	0.00980390214987592	-0.00339356181182559	0.00339356181182559	Pre-treatment: R vs NR	R < NR
Tumor_Gp1	Myeloid	0.01450924591792997	0.02240453943286842	-0.007895293514938449	0.007895293514938449	Pre-treatment: R vs NR	R < NR
