patient	mandard_group	sample_type	cellgp	gene	logcpm	response
P05	good	Treat	cytotoxic CD8	CXCR1	0.4480908157715505	WR
P05	good	Baseline	Treg	CXCR4	7.060394531179682	WR
P05	good	Baseline	exhausted CD8	CXCR3	4.593491477182772	WR
P05	good	Baseline	exhausted CD8	CXCR4	7.244088918618902	WR
P05	good	Baseline	NK	CCR5	2.6181455971158996	WR
P05	good	Treat	Treg	CXCR4	8.02284525773765	WR
P05	good	Treat	NK	ACKR3	1.412096992532981	WR
P05	good	Treat	NK	CX3CR1	3.18982395774892	WR
P05	good	Baseline	Treg	CXCR3	5.000157826007459	WR
P05	good	Baseline	exhausted CD8	ACKR3	0.6773745442371484	WR
P05	good	Baseline	exhausted CD8	CXCR2	0	WR
P05	good	Treat	Treg	CCR5	2.2335244333509423	WR
P05	good	Baseline	other CD8	CCR5	3.0956977814059004	WR
P05	good	Baseline	NK	CCR4	3.489687053252326	WR
P05	good	Baseline	other CD8	CCR4	3.813650848842968	WR
P05	good	Treat	Treg	CXCR3	4.254749531869556	WR
P05	good	Baseline	cytotoxic CD8	CCR2	1.4843806188883313	WR
P05	good	Baseline	NK	CCR6	3.978370269967036	WR
P05	good	Baseline	exhausted CD8	CCR5	3.5799927069817423	WR
P05	good	Baseline	NK	CXCR4	8.073638542915225	WR
P05	good	Baseline	exhausted CD8	CXCR1	0	WR
P05	good	Treat	Treg	CCR6	5.650071602811227	WR
P05	good	Treat	Treg	CXCR1	0	WR
P05	good	Baseline	exhausted CD8	CX3CR1	1.077526334668898	WR
P05	good	Baseline	Treg	CCR4	4.535059398449341	WR
P05	good	Baseline	NK	CCR2	0	WR
P05	good	Baseline	Treg	CCR2	1.1857837727232545	WR
P05	good	Treat	Treg	CXCR2	0	WR
P05	good	Baseline	Treg	CCR5	2.9709661388782225	WR
P05	good	Baseline	other CD8	CCR2	1.6525991584137931	WR
P05	good	Baseline	Treg	CXCR2	0	WR
P05	good	Baseline	other CD8	CCR6	4.943622813695873	WR
P05	good	Baseline	Treg	ACKR3	1.6528330576158736	WR
P05	good	Baseline	NK	ACKR3	0	WR
P05	good	Treat	Treg	CCR4	4.872290722418363	WR
P05	good	Treat	other CD8	CCR4	1.9959758747761327	WR
P05	good	Baseline	Treg	CX3CR1	1.4463310122789372	WR
P05	good	Treat	other CD8	CCR5	0	WR
P05	good	Baseline	cytotoxic CD8	CX3CR1	1.1862632545234078	WR
P05	good	Baseline	cytotoxic CD8	ACKR3	1.1862632545234078	WR
P05	good	Treat	exhausted CD8	ACKR3	0	WR
P05	good	Treat	other CD8	CXCR3	3.818056651629785	WR
P05	good	Treat	other CD8	CX3CR1	0	WR
P05	good	Treat	other CD8	ACKR3	3.490334205970751	WR
P05	good	Baseline	exhausted CD8	CCR4	4.111849395356015	WR
P05	good	Treat	Treg	CCR2	0.6553703518332535	WR
P05	good	Baseline	exhausted CD8	CCR6	4.7967741350569515	WR
P05	good	Baseline	NK	CX3CR1	1.7520398804415955	WR
P05	good	Baseline	cytotoxic CD8	CXCR1	0.45025062025471135	WR
P05	good	Treat	exhausted CD8	CCR4	2.3745757454557537	WR
P05	good	Baseline	cytotoxic CD8	CXCR2	0.45025062025471135	WR
P05	good	Treat	other CD8	CCR6	2.6187644373830037	WR
P05	good	Treat	NK	CCR5	0	WR
P05	good	Treat	cytotoxic CD8	CCR2	1.6741251372295274	WR
P05	good	Treat	cytotoxic CD8	CCR4	2.8881262024432015	WR
P05	good	Treat	cytotoxic CD8	CCR5	3.025183754211126	WR
P05	good	Treat	cytotoxic CD8	CCR6	3.8456906298214353	WR
P05	good	Treat	Treg	ACKR3	0.6553703518332535	WR
P05	good	Baseline	NK	CXCR1	0.9511884422980482	WR
P05	good	Baseline	NK	CXCR2	0	WR
P05	good	Baseline	NK	CXCR3	5.141663184857105	WR
P05	good	Baseline	cytotoxic CD8	CCR6	4.727696985541404	WR
P05	good	Treat	cytotoxic CD8	ACKR3	0.5617626969287233	WR
P05	good	Treat	cytotoxic CD8	CX3CR1	1.5217787660770599	WR
P05	good	Baseline	cytotoxic CD8	CXCR3	5.164922063962037	WR
P05	good	Baseline	cytotoxic CD8	CXCR4	8.405627005906819	WR
P05	good	Treat	other CD8	CXCR1	0	WR
P05	good	Treat	other CD8	CXCR2	0	WR
P05	good	Treat	NK	CXCR1	0	WR
P05	good	Treat	other CD8	CXCR4	7.275573602210325	WR
P05	good	Baseline	Treg	CCR6	6.1238614138748675	WR
P05	good	Treat	cytotoxic CD8	CXCR2	0.17264175975131948	WR
P05	good	Treat	cytotoxic CD8	CXCR3	4.501278072048649	WR
P05	good	Baseline	cytotoxic CD8	CCR5	3.666205689401485	WR
P05	good	Treat	NK	CCR4	2.5966130687413465	WR
P05	good	Treat	Treg	CX3CR1	0.6553703518332535	WR
P05	good	Treat	exhausted CD8	CXCR3	4.420630272602432	WR
P05	good	Treat	NK	CCR2	0	WR
P05	good	Treat	exhausted CD8	CXCR4	8.113266091846167	WR
P05	good	Treat	other CD8	CCR2	0	WR
P05	good	Treat	NK	CXCR4	8.402014506383855	WR
P05	good	Treat	exhausted CD8	CXCR2	0	WR
P05	good	Treat	exhausted CD8	CX3CR1	0	WR
P05	good	Treat	NK	CXCR3	4.384100943082458	WR
P05	good	Treat	NK	CXCR2	2.3334693089134846	WR
P05	good	Baseline	exhausted CD8	CCR2	1.077526334668898	WR
P05	good	Treat	exhausted CD8	CCR5	3.312535847852451	WR
P05	good	Treat	exhausted CD8	CCR6	2.496407215208641	WR
P05	good	Treat	cytotoxic CD8	CXCR4	8.270329631210785	WR
P05	good	Baseline	other CD8	CXCR2	2.245068515362445	WR
P05	good	Treat	NK	CCR6	3.3652586679660477	WR
P05	good	Baseline	other CD8	CXCR3	4.627838787799657	WR
